"名称","大小","路径","修改时间"
"蛮王02.mkv",6107733556,"E:\录制目录",2022-11-30 17:13:06
"老鼠.mkv",5301805855,"E:\录制目录",2022-11-30 10:14:49
"劫02.mkv",4498001584,"E:\录制目录",2022-11-30 17:36:19
"2022-11-30_15-17-38-梦魇.mkv",4382027204,"E:\录制目录",2022-11-30 15:48:38
"塞纳.mkv",4105738329,"E:\录制目录",2022-11-30 11:07:42
"2022-11-30_14-38-37-艾克.mkv",3631281220,"E:\录制目录",2022-11-30 15:13:17
"派克01.mkv",3440508935,"E:\录制目录",2022-11-29 18:12:43
"派克02.mkv",3424460892,"E:\录制目录",2022-11-29 19:07:54
"薇恩.mkv",3255401241,"E:\录制目录",2022-11-30 10:30:06
"蛮王01.mkv",3191918076,"E:\录制目录",2022-11-30 16:30:48
"魔女2.1080p.韩语中字.mp4",3124092310,"E:\pokes",2023-01-03 19:57:43
"2022-11-30_13-54-27.mkv",2782013723,"E:\录制目录",2022-11-30 14:19:54
"[电影湾dy196.com]谍影重重.HD1080p.2.29g.chs.h264.aac.mp4",2468722621,"E:\pokes\谍影重重五部合集",2022-06-12 17:20:40
"[电影湾dy196.com]谍影重重4.HD1080p.2.14g.chs&eng.h264.aac.mp4",2305642718,"E:\pokes\谍影重重五部合集",2022-06-12 17:03:54
"0001.mp4",2271298267,"E:",2021-12-16 20:22:13
"DK vs KT#2 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",2171116120,"C:\Users\pokes\Downloads",2022-09-27 23:02:39
"[电影湾dy196.com]谍影重重3.HD1080p.1.68g.chs&eng.h264.aac.mp4",1811629355,"E:\pokes\谍影重重五部合集",2022-06-12 17:09:40
"[电影湾dy196.com]谍影重重2.HD1080p.1.65g.chs&eng.h264.aac.mp4",1775044724,"E:\pokes\谍影重重五部合集",2022-06-12 17:15:31
"GEN vs T1#3 采访&颁奖 2022LCK夏季总决赛_英雄联盟精彩视频_虎牙视频.ts",1608446220,"C:\Users\pokes\Downloads",2022-09-27 19:24:37
"4.第三场+颁奖仪式(Av75262075,P4).flv",1572390046,"E:\【2019全球总决赛】11月10日决赛 FPX vs G2",2021-09-20 22:38:43
"谎言之躯.BD1280高清国英双语中英双字.mp4",1554498298,"E:\pokes",2023-01-03 20:46:43
"[电影湾dy196.com]谍影重重5.HD1080p.1.28g.chs.h264.aac.mp4",1376098377,"E:\pokes\谍影重重五部合集",2022-06-12 16:57:47
"4.第四场(Av74299457,P4).mp4",1307658991,"E:\【2019全球总决赛】11月2日半决赛 IG vs FPX",2021-09-20 17:06:45
"2.第一场(Av75262075,P2).mp4",1290947379,"E:\【2019全球总决赛】11月10日决赛 FPX vs G2",2021-09-20 17:14:01
"DK vs KT#5 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",1264110120,"C:\Users\pokes\Downloads",2022-09-27 23:05:11
"T1 vs DK#5 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",1240034652,"C:\Users\pokes\Downloads\111111",2022-09-27 20:13:07
"DK vs KT#1 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",1199563328,"C:\Users\pokes\Downloads",2022-09-27 22:59:58
"【The Neighbors】【高清720P版HD-RMVB.中字】.rmvb",1176717768,"E:\pokes",2022-09-22 19:44:28
"DK vs KT#4 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",1150374632,"C:\Users\pokes\Downloads",2022-09-27 23:00:56
"GEN vs T1#1 2022LCK夏季总决赛_英雄联盟精彩视频_虎牙视频.ts",1074463616,"C:\Users\pokes\Downloads",2022-09-27 19:15:08
"T1 vs DK#3 2022LCK夏季季后赛_英雄联盟精彩视频_虎牙视频.ts",1053460256,"C:\Users\pokes\Downloads\111111",2022-09-27 20:12:49
